Instrument,Question Label,Question Description,Question ID,Response Label,Response Value,Response Description,,
,INATTENTION T-SCORE,"Raw scores were converted to T scores for gender and age based on the Conners-3 Manual look up tables. Common characteristics of high scorers in this category: may have poor concentration/attention or difficulty keeping his/her mind on work; may make careless mistakes, may be easily distracted; may give up easily; may have difficulty starting and/or finishing tasks. Interpretive Guidelines for T Scores and Percentiles: Above 70 – 98th+ percentile - Very Elevated (many more concerns than are typically reported); 65-69 – 93-97th percentile - Elevated (more concerns than are typically reported); 60-64 – 84-92nd percentile - High Average (slightly more concerns than are typically reported; requires careful consideration and clinical judgment, as this range is the borderline between typical and a typical levels of concern); 40-59 – 16-83rd percentile – Average (typical levels of concern); <40 - <16th percentile – Low (fewer concerns than are typically reported)",CONY_50,,,,,
,HYPERACTIVITY/IMPULSIVITY (HY) T-SCORE,"Raw scores were converted to T scores for gender and age based on the Conners-3 Manual look up tables. Common characteristics of high scorers in this category: high activity levels, may be restless and/or impulsive; may have difficulty being quite; may interrupt others or talk too much; may be easily excited. 
Interpretive Guidelines for T Scores and Percentiles: 
Above 70 – 98th+ percentile - Very Elevated (many more concerns than are typically reported); 
65-69 – 93-97th percentile - Elevated (more concerns than are typically reported); 
60-64 – 84-92nd percentile - High Average (slightly more concerns than are typically reported; requires careful consideration and clinical judgment, as this range is the borderline between typical and a typical levels of concern); 
40-59 – 16-83rd percentile – Average (typical levels of concern); 
<40 - <16th percentile – Low (fewer concerns than are typically reported)",CONY_51,,,,,
,LEARNING PROBLEMS (LP) T-SCORE,"Raw scores were converted to T scores for gender and age based on the Conners-3 Manual look up tables. Common characteristics of high scorers in this category: academic struggles (reading, spelling, and/or math); may have difficulty learning and/or remembering concepts; may nee extra help. 
Interpretive Guidelines for T Scores and Percentiles: 
Above 70 – 98th+ percentile - Very Elevated (many more concerns than are typically reported); 
65-69 – 93-97th percentile - Elevated (more concerns than are typically reported); 
60-64 – 84-92nd percentile - High Average (slightly more concerns than are typically reported; requires careful consideration and clinical judgment, as this range is the borderline between typical and a typical levels of concern); 
40-59 – 16-83rd percentile – Average (typical levels of concern); 
<40 - <16th percentile – Low (fewer concerns than are typically reported)",CONY_52,,,,,
,AGGRESSION (AG) T-SCORE,"Raw scores were converted to T scores for gender and age based on the Conners-3 Manual look up tables. Common characteristics of high scorers in this category: physically and/or verbally aggressive; may show violent or destructive tendencies; may bully others; may have poor control of anger and/or aggression; may be manipulative or cruel; may break rules and/or have legal issues. 
Interpretive Guidelines for T Scores and Percentiles: 
Above 70 – 98th+ percentile - Very Elevated (many more concerns than are typically reported); 
65-69 – 93-97th percentile - Elevated (more concerns than are typically reported); 
60-64 – 84-92nd percentile - High Average (slightly more concerns than are typically reported; requires careful consideration and clinical judgment, as this range is the borderline between typical and a typical levels of concern); 
40-59 – 16-83rd percentile – Average (typical levels of concern); 
<40 - <16th percentile – Low (fewer concerns than are typically reported)",CONY_53,,,,,
,FAMILY RELATIONS (FR) T-SCORE,"Raw scores were converted to T scores for gender and age based on the Conners-3 Manual look up tables. Common characteristics of high scorers in this category: May feel that parents do not love or notice him/her. May feel unjustly criticized and/or punished at home. 
Interpretive Guidelines for T Scores and Percentiles: 
Above 70 – 98th+ percentile - Very Elevated (many more concerns than are typically reported)
65-69 – 93-97th percentile - Elevated (more concerns than are typically reported)
60-64 – 84-92nd percentile - High Average (slightly more concerns than are typically reported; requires careful consideration and clinical judgment, as this range is the borderline between typical and a typical levels of concern)
40-59 – 16-83rd percentile – Average (typical levels of concern)
<40 - <16th percentile – Low (fewer concerns than are typically reported)",CONY_54,,,,,
Consensus Diagnostic Summary (4/15/13),Is there a consensus diagnosis?,,CONDX_01,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,Consensus Diagnosis Rationale,,CONDX_03,,,,,
,Consensus Diagnosis,,CONDX_02,,,,,
Demos,What is your current age in years?,,DEM_001,,,,,
,What is your sex?,,DEM_002,Male,1,,,
,,,,Female,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,What is your ethnicity?,,DEM_003,Hispanic or Latino or Spanish,1,,,
,,,,Not Hispanic or Latino or Spanish,0,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,What is your race?,,DEM_004,American Indian or Native Alaskan,1,,,
,,,,Asian,2,,,
,,,,Black or African American,3,,,
,,,,Native Hawaiian or Other Pacific Islander,4,,,
,,,,White,5,,,
,,,,Other Race,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,What is your native language?,,DEM_006,English,1,,,
,,,,Spanish,2,,,
,,,,Asian Dialect,3,,,
,,,,African Dialect,4,,,
,,,,Indian Dialect,5,,,
,,,,Other,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
Demos-supplement (2/12/13),What is your current marital status?,"Adult participants: current marital status; 
Child participants: this is their parents marital status",DEMOS_01,Married,1,,,
,,,,Widowed,2,,,
,,,,Divorced or annulled,3,,,
,,,,Separated,4,,,
,,,,Never Married,5,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,What is your annual household income?,,DEMOS_02,"Less than $10,000",1,,,
,,,,"$10,000 to $14,999",2,,,
,,,,"$15,000 to $24,999",3,,,
,,,,"$25,000 to $34,999",4,,,
,,,,"$35,000 to $49,999",5,,,
,,,,"$50,000 to $74,999",6,,,
,,,,"$75,000 to $99,999",7,,,
,,,,"$100,000 to $199,999",8,,,
,,,,"$200,000 or more",9,,,
,,,,Prefer not to disclose.,10,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,What language do you/your family primarily speak at home?,,DEMOS_03,English,1,,,
,,,,Spanish,2,,,
,,,,Asian Dialect,3,,,
,,,,African Dialect,4,,,
,,,,Indian Dialect,5,,,
,,,,Other,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,What second language do you/your family speak at home?,,DEMOS_03A,English,1,,,
,,,,Spanish,2,,,
,,,,Asian Dialect,3,,,
,,,,African Dialect,4,,,
,,,,Indian Dialect,5,,,
,,,,Other,6,,,
,,,,No second language,7,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,How many people live in your household?,,DEMOS_04,,,,,
Deviation form,Were there any protocol deviations for this subject?,,DEV_01,No,0,,,
,,,,Yes,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,#1 Description and Resolution,,DEV_02,,,,,
,#1 Category,,DEV_03,MRI,1,,,
,,,,Order of procedures,2,,,
,,,,Missing data,3,,,
,,,,Not fasting for labs,4,,,
,,,,Out of range (>28 days),5,,,
,,,,Other,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,#1: Visit,,DEV_04,Visit #1,1,,,
,,,,Visit #2,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,#1 Date:,,DEV_05,,,,,
,#2: Description and Resolution:,,DEV_06,,,,,
,#2 Category,,DEV_07,MRI,1,,,
,,,,Order of procedures,2,,,
,,,,Missing data,3,,,
,,,,Not fasting for labs,4,,,
,,,,Out of range (>28 days),5,,,
,,,,Other,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,#2: Visit:,,DEV_08,Visit #1,1,,,
,,,,Visit #2,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,#2 Date:,,DEV_09,,,,,
,#3 Description and Resolution,,DEV_10,,,,,
,#3 Category:,,DEV_11,MRI,1,,,
,,,,Order of procedures,2,,,
,,,,Missing data,3,,,
,,,,Not fasting for labs,4,,,
,,,,Out of range (>28 days),5,,,
,,,,Other,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,#3 Visit:,,DEV_12,Visit #1,1,,,
,,,,Visit #2,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,#3 Date,,DEV_13,,,,,
,#4 Description and Resolution,,DEV_14,,,,,
,#4 Category,,DEV_15,MRI,1,,,
,,,,Order of procedures,2,,,
,,,,Missing data,3,,,
,,,,Not fasting for labs,4,,,
,,,,Out of range (>28 days),5,,,
,,,,Other,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,#4 Visit,,DEV_16,Visit #1,1,,,
,,,,Visit #2,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,#4 Date,,DEV_17,,,,,
Diagnostic Summary,Diagnosis 1,,DIAG_01,,,,,
,Diagnosis 2,,DIAG_02,,,,,
,Diagnosis 3,,DIAG_03,,,,,
,Diagnosis 4,,DIAG_04,,,,,
,Diagnosis 5,,DIAG_6,,,,,
,Diagnosis 6,,DIAG_07,,,,,
,Diagnosis 7,,DIAG_08,,,,,
,Diagnosis 8,,DIAG_09,,,,,
,Diagnosis 9,,DIAG_10,,,,,
DKEFS 20 Questions,Initial Abstractions Item1,,QUESTS_01,,,,,
,Initial Abstractions Item2,,QUESTS_02,,,,,
,Initial Abstractions Item3,,QUESTS_03,,,,,
,Initial Abstractions Item4,,QUESTS_04,,,,,
,Total Questions Asked Item1,,QUESTS_05,,,,,
,Total Questions Asked Item2,,QUESTS_06,,,,,
,Total Questions Asked Item3,,QUESTS_07,,,,,
,Total Questions Asked Item4,,QUESTS_08,,,,,
,Total Weighted Achievement Score Item1,,QUESTS_09,,,,,
,Total Weighted Achievement Score Item2,,QUESTS_10,,,,,
,Total Weighted Achievement Score Item3,,QUESTS_11,,,,,
,Total Weighted Achievement Score Item4,,QUESTS_12,,,,,
,Spatial Questions Item1,,QUESTS_13,,,,,
,Spatial Questions Item2,,QUESTS_14,,,,,
,Spatial Questions Item3,,QUESTS_15,,,,,
,Spatial Questions Item4,,QUESTS_16,,,,,
,Repeated Questions Item1,,QUESTS_17,,,,,
,Repeated Questions Item2,,QUESTS_18,,,,,
,Repeated Questions Item3,,QUESTS_19,,,,,
,Repeated Questions Item4,,QUESTS_20,,,,,
,Set-Loss Questions Item1,,QUESTS_21,,,,,
,Set-Loss Questions Item2,,QUESTS_22,,,,,
,Set-Loss Questions Item3,,QUESTS_23,,,,,
,Set-Loss Questions Item4,,QUESTS_24,,,,,
,Redundant Subordinate 1,,QUESTS_25,,,,,
,Redundant Subordinate 2,,QUESTS_26,,,,,
,Redundant Subordinate 3,,QUESTS_27,,,,,
,Redundant Subordinate 4,,QUESTS_28,,,,,
,Total Weighted Achievement Score,,QUEST_29,,,,,
,Total Weighted Achievement Scaled Score,Total Weighted Achievement Scaled Score,QUEST_30,,,,,
,Spatial Questions Total Raw,,QUEST_31,,,,,
,Spatial Questions Cum Rank,,QUEST_32,,,,,
,Repeated Questions Total Raw,,QUEST_33,,,,,
,Repeated Questions Cum Rank,,QUEST_34,,,,,
,Set-Loss Questions Total Raw,,QUEST_35,,,,,
,Set-Loss Questions Cum Rank,,QUEST_36,,,,,
,Redundant Subordinate 1,,QUEST_90,,,,,
,Redundant Subordinate 2,,QUEST_91,,,,,
,Redundant Subordinate 3,,QUEST_92,,,,,
,Redundant Subordinate 4,,QUEST_93,,,,,
DKEFS Color Word Interference,,,DKEFSCWI_01,,,,,
,,,DKEFSCWI_02,,,,,
,,,DKEFSCWI_03,,,,,
,,,DKEFSCWI_04,,,,,
,,,DKEFSCWI_05,,,,,
,,,DKEFSCWI_06,,,,,
,,,DKEFSCWI_07,,,,,
,,,DKEFSCWI_08,,,,,
,,,DKEFSCWI_09,,,,,
,,,DKEFSCWI_10,,,,,
,,,DKEFSCWI_11,,,,,
,,,DKEFSCWI_12,,,,,
,,,DKEFSCWI_13,,,,,
,,,DKEFSCWI_14,,,,,
,,,DKEFSCWI_15,,,,,
,,,DKEFSCWI_16,,,,,
,,,DKEFSCWI_17,,,,,
,,,DKEFSCWI_18,,,,,
,,,DKEFSCWI_19,,,,,
,,,DKEFSCWI_20,,,,,
,,,DKEFSCWI_21,,,,,
,,,DKEFSCWI_22,,,,,
,,,DKEFSCWI_23,,,,,
,,,DKEFSCWI_24,,,,,
,,,DKEFSCWI_25,,,,,
,,,DKEFSCWI_26,,,,,
,,,DKEFSCWI_27,,,,,
,,,DKEFSCWI_28,,,,,
,,,DKEFSCWI_29,,,,,
,,,DKEFSCWI_30,,,,,
,,,DKEFSCWI_31,,,,,
,,,DKEFSCWI_32,,,,,
,,,DKEFSCWI_33,,,,,
,,,DKEFSCWI_34,,,,,
,,,DKEFSCWI_35,,,,,
,,,DKEFSCWI_36,,,,,
,,,DKEFSCWI_37,,,,,
,,,DKEFSCWI_38,,,,,
,,,DKEFSCWI_39,,,,,
,,,DKEFSCWI_40,,,,,
DKEFS Design Fluency,,,DF_01,,,,,
,,,DF_02,,,,,
,,,DF_03,,,,,
,,,DF_04,,,,,
,,,DF_05,,,,,
,,,DF_06,,,,,
,,,DF_07,,,,,
,,,DF_08,,,,,
,,,DF_09,,,,,
,,,DF_10,,,,,
,,,DF_11,,,,,
,,,DF_12,,,,,
,,,DF_13,,,,,
,,,DF_14,,,,,
,,,DF_15,,,,,
,,,DF_16,,,,,
,,,DF_17,,,,,
,,,DF_18,,,,,
,,,DF_19,,,,,
,,,DF_20,,,,,
,,,DF_21,,,,,
,,,DF_22,,,,,
,,,DF_23,,,,,
,,,DF_24,,,,,
,,,DF_25,,,,,
,,,DF_26,,,,,
,,,DF_27,,,,,
,,,DF_28,,,,,
,,,DF_29,,,,,
DKEFS PROVERBS,Total Achievement Score: Free Inquiry,,PROV_01,,,,,
,Total Achievement Score: Mult Choice,,PROV_02,,,,,
,Common Proverb Achievement Score: Free Inquiry ( 1-5),,PROV_03,,,,,
,Common Proverb Achievement Score: Free Inquiry (6-8),,PROV_04,,,,,
,Accuracy Only score,,PROV_05,,,,,
,Abstract only score,,PROV_06,,,,,
,No/Don’t Responses,,PROV_07,,,,,
,Repeated Responses,,PROV_08,,,,,
,Common Proverb Achievement score: Multiple Choice (1-5),,PROV_09,,,,,
,Common Proverb Achievement Score: Multiple Choice (6-8),,PROV_10,,,,,
,Total Correct Abstract Choices,,PROV_11,,,,,
,Total Correct Concrete Choices,,PROV_12,,,,,
,Total Incorrect Phonemic choices,,PROV_13,,,,,
,Total Incorrect unrelated choices,,PROV_14,,,,,
,Total Incorrect Phonemic + Unrelated choices,,PROV_15,,,,,
,Total Achievement Score: Free Inquiry,,PROV_16,,,,,
,Total Achievement Score: Mult Choice,,PROV_17,,,,,
,Common Proverb Achievement Score: Free Inquiry ( 1-5),,PROV_18,,,,,
,Common Proverb Achievement Score: Free Inquiry (6-8),,PROV_19,,,,,
,Accuracy Only score,,PROV_20,,,,,
,Abstract only score,,PROV_21,,,,,
,No/Don't Know Responses,,PROV_22,,,,,
,Repeated Responses,,PROV_23,,,,,
,Common Proverb Achievement score: Multiple Choice (1-5),,PROV_24,,,,,
,Common Proverb Achievement Score: Multiple Choice (6-8),,PROV_25,,,,,
,Total Correct Abstract Choices,,PROV_26,,,,,
,Total Correct Concrete Choices,,PROV_27,,,,,
,Total Incorrect Phonemic choices,,PROV_28,,,,,
,Total Incorrect unrelated choices,,PROV_29,,,,,
,Total Incorrect Phonemic + Unrelated choices,,PROV_30,,,,,
DKEFS Sorting,,,DKEFSSORT_01,,,,,
,,,DKEFSSORT_02,,,,,
,,,DKEFSSORT_03,,,,,
,,,DKEFSSORT_04,,,,,
,,,DKEFSSORT_05,,,,,
,,,DKEFSSORT_06,,,,,
,,,DKEFSSORT_07,,,,,
,,,DKEFSSORT_08,,,,,
,,,DKEFSSORT_09,,,,,
,,,DKEFSSORT_10,,,,,
,,,DKEFSSORT_11,,,,,
,,,DKEFSSORT_12,,,,,
,,,DKEFSSORT_13,,,,,
,,,DKEFSSORT_14,,,,,
,,,DKEFSSORT_15,,,,,
,,,DKEFSSORT_16,,,,,
,,,DKEFSSORT_17,,,,,
,,,DKEFSSORT_18,,,,,
,,,DKEFSSORT_19,,,,,
,,,DKEFSSORT_20,,,,,
,,,DKEFSSORT_21,,,,,
,,,DKEFSSORT_22,,,,,
,,,DKEFSSORT_23,,,,,
,,,DKEFSSORT_24,,,,,
,,,DKEFSSORT_25,,,,,
,,,DKEFSSORT_26,,,,,
,,,DKEFSSORT_27,,,,,
,,,DKEFSSORT_28,,,,,
,,,DKEFSSORT_29,,,,,
,,,DKEFSSORT_30,,,,,
,,,DKEFSSORT_31,,,,,
,,,DKEFSSORT_32,,,,,
,,,DKEFSSORT_33,,,,,
,,,DKEFSSORT_34,,,,,
,,,DKEFSSORT_35,,,,,
,,,DKEFSSORT_36,,,,,
,,,DKEFSSORT_37,,,,,
,,,DKEFSSORT_38,,,,,
,,,DKEFSSORT_39,,,,,
,,,DKEFSSORT_40,,,,,
,,,DKEFSSORT_41,,,,,
,,,DKEFSSORT_42,,,,,
,,,DKEFSSORT_43,,,,,
,,,DKEFSSORT_44,,,,,
,,,DKEFSSORT_45,,,,,
,,,DKEFSSORT_46,,,,,
,,,DKEFSSORT_47,,,,,
,,,DKEFSSORT_48,,,,,
,,,DKEFSSORT_49,,,,,
,,,DKEFSSORT_50,,,,,
,,,DKEFSSORT_51,,,,,
,,,DKEFSSORT_52,,,,,
,,,DKEFSSORT_53,,,,,
,,,DKEFSSORT_54,,,,,
,,,DKEFSSORT_55,,,,,
,,,DKEFSSORT_56,,,,,
,,,DKEFSSORT_57,,,,,
,,,DKEFSSORT_58,,,,,
,,,DKEFSSORT_59,,,,,
,,,DKEFSSORT_60,,,,,
,,,DKEFSSORT_61,,,,,
,,,DKEFSSORT_62,,,,,
,,,DKEFSSORT_6.,,,,,
,,,DKEFSSORT_64,,,,,
,,,DKEFSSORT_65,,,,,
,,,DKEFSSORT_66,,,,,
,,,DKEFSSORT_67,,,,,
,,,DKEFSSORT_68,,,,,
,,,DKEFSSORT_69,,,,,
,,,DKEFSSORT_70,,,,,
,,,DKEFSSORT_71,,,,,
,,,DKEFSSORT_72,,,,,
,,,DKEFSSORT_73,,,,,
,,,DKEFSSORT_74,,,,,
,,,DKEFSSORT_75,,,,,
,,,DKEFSSORT_76,,,,,
,,,DKEFSSORT_77,,,,,
,,,DKEFSSORT_78,,,,,
,,,DKEFSSORT_79,,,,,
,,,DKEFSSORT_80,,,,,
,,,DKEFSSORT_81,,,,,
,,,DKEFSSORT_82,,,,,
,,,DKEFSSORT_83,,,,,
,,,DKEFSSORT_84,,,,,
,,,DKEFSSORT_85,,,,,
,,,DKEFSSORT_86,,,,,
,,,DKEFSSORT_87,,,,,
,,,DKEFSSORT_88,,,,,
,,,DKEFSSORT_89,,,,,
,,,DKEFSSORT_90,,,,,
,,,DKEFSSORT_91,,,,,
,,,DKEFSSORT_92,,,,,
,,,DKEFSSORT_93,,,,,
,,,DKEFSSORT_94,,,,,
,,,DKEFSSORT_95,,,,,
,,,DKEFSSORT_96,,,,,
,,,DKEFSSORT_97,,,,,
,,,DKEFSSORT_98,,,,,
,,,DKEFSSORT_99,,,,,
,,,DKEFSSORT_100,,,,,
,,,DKEFSSORT_101,,,,,
DKEFS TOWER,Item 1-1st Move Time,,TOW_01,,,,,
,Item1-Total Moves,,TOW_02,,,,,
,Item1-Rule Violations,,TOW_03,,,,,
,Item1-Completion Time,,TOW_04,,,,,
,Item1-Achievement score,,TOW_05,,,,,
,Item2-1st Move time,,TOW_06,,,,,
,Item2-total moves,,TOW_07,,,,,
,Item2-Rule Violations,,TOW_08,,,,,
,Item2-Completion Time,,TOW_09,,,,,
,Item2-Achievement Score,,TOW_10,,,,,
,Item3-1st Move time,,TOW_11,,,,,
,Item3-total moves,,TOW_12,,,,,
,Item3-Rule Violations,,TOW_13,,,,,
,Item3-Completion Time,,TOW_14,,,,,
,Item3-Achievement Score,,TOW_15,,,,,
,Item4-1st Move time,,TOW_16,,,,,
,Item4-total moves,,TOW_17,,,,,
,Item4-Rule Violations,,TOW_18,,,,,
,Item4-Completion Time,,TOW_19,,,,,
,Item4-Achievement Score,,TOW_20,,,,,
,Item5-1st Move time,,TOW_21,,,,,
,Item5-total moves,,TOW_22,,,,,
,Item5-Rule Violations,,TOW_23,,,,,
,Item5-Completion Time,,TOW_24,,,,,
,Item5-Achievement Score,,TOW_25,,,,,
,Item6-1st Move time,,TOW_26,,,,,
,Item6-total moves,,TOW_27,,,,,
,Item6-Rule Violations,,TOW_28,,,,,
,Item6-Completion Time,,TOW_29,,,,,
,Item6-Achievement Score,,TOW_30,,,,,
,Item7-1st Move time,,TOW_31,,,,,
,Item7-total moves,,TOW_32,,,,,
,Item7-Rule Violations,,TOW_33,,,,,
,Item7-Completion Time,,TOW_34,,,,,
,Item7-Achievement Score,,TOW_35,,,,,
,Item8-1st Move time,,TOW_36,,,,,
,Item8-total moves,,TOW_37,,,,,
,Item8-Rule Violations,,TOW_38,,,,,
,Item8-Completion Time,,TOW_39,,,,,
,Item8-Achievement Score,,TOW_40,,,,,
,Item9-1st Move time,,TOW_41,,,,,
,Item9-total moves,,TOW_42,,,,,
,Item9-Rule Violations,,TOW_43,,,,,
,Item9-Completion Time,,TOW_44,,,,,
,Item9-Achievement Score,,TOW_45,,,,,
,Total Achievement Score Total Raw,,TOWER_46,,,,,
,Total Achievement Score Scaled,,TOWER_47,,,,,
,Total Rule Violation Raw,,TOWER_48,,,,,
,Total Rule Violation Scaled,,TOWER_49,,,,,
,Mean First Move Time Raw,Mean First Move Time Raw,TOWER_50,,,,,
,Mean First Move Time Scaled,,TOWER_51,,,,,
,Time Per Move Ratio Raw,,TOWER_52,,,,,
,Time Per Move Ratio Scaled,,TOWER_53,,,,,
,Rule Violations Per Item Ratio Raw,,TOWER_54,,,,,
,Rule Violations Per Item Ratio Scaled,,TOWER_55,,,,,
,Move Accuracy Ratio Raw,,TOWER_56,,,,,
,Move Accuracy Ratio Scaled,,TOWER_57,,,,,
DKEFS Trails,TMT_VSC1_rs,,DKEFSTMT_01,,,,,
,TMT_NSC2_rs,,DKEFSTMT_02,,,,,
,TMT_LSC3_rs,,DKEFSTMT_03,,,,,
,TMT_NLSC4_rs,,DKEFSTMT_04,,,,,
,TMT_MSC5_rs,,DKEFSTMT_05,,,,,
,TMT_VSOE_rs,,DKEFSTMT_06,,,,,
,TMT_VSCE_rs,,DKEFSTMT_07,,,,,
,TMT_NSSE_C2_rs,,DKEFSTMT_08,,,,,
,TMT_NSSL_C2_rs,,DKEFSTMT_09,,,,,
,TMT_NSTD_C2_rs,,DKEFSTMT_10,,,,,
,TMT_LSSE_C3_rs,,DKEFSTMT_11,,,,,
,TMT_LSSL_C3_rs,,DKEFSTMT_12,,,,,
,TMT_LSTD_C3_rs,,DKEFSTMT_13,,,,,
,TMT_NLSSE_C4_rs,,DKEFSTMT_14,,,,,
,TMT_NLSSL_C4_rs,,DKEFSTMT_15,,,,,
,TMT_NLSTD_C4_rs,,DKEFSTMT_16,,,,,
,TMT_MSTD_C5_rs,,DKEFSTMT_17,,,,,
,,,DKEFSTMT_18,,,,,
,,,DKEFSTMT_19,,,,,
,,,DKEFSTMT_20,,,,,
,,,DKEFSTMT_21,,,,,
,,,DKEFSTMT_22,,,,,
,,,DKEFSTMT_23,,,,,
,,,DKEFSTMT_24,,,,,
,,,DKEFSTMT_25,,,,,
,,,DKEFSTMT_26,,,,,
,,,DKEFSTMT_27,,,,,
,,,DKEFSTMT_28,,,,,
,,,DKEFSTMT_29,,,,,
,,,DKEFSTMT_30,,,,,
,,,DKEFSTMT_31,,,,,
,,,DKEFSTMT_32,,,,,
,,,DKEFSTMT_33,,,,,
,,,DKEFSTMT_34,,,,,
,,,DKEFSTMT_35,,,,,
,,,DKEFSTMT_36,,,,,
,,,DKEFSTMT_37,,,,,
,,,DKEFSTMT_38,,,,,
,,,DKEFSTMT_39,,,,,
,,,DKEFSTMT_40,,,,,
,,,DKEFSTMT_41,,,,,
,,,DKEFSTMT_42,,,,,
,,,DKEFSTMT_43,,,,,
,,,DKEFSTMT_44,,,,,
,,,DKEFSTMT_45,,,,,
,,,DKEFSTMT_46,,,,,
,,,DKEFSTMT_47,,,,,
,,,DKEFSTMT_48,,,,,
DKEFS Verbal Fluency,,,VF_01,,,,,
,,,VF_02,,,,,
,,,VF_03,,,,,
,,,VF_04,,,,,
,,,VF_05,,,,,
,,,VF_06,,,,,
,,,VF_07,,,,,
,,,VF_08,,,,,
,,,VF_09,,,,,
,,,VF_10,,,,,
,,,VF_11,,,,,
,,,VF_12,,,,,
,,,VF_13,,,,,
,,,VF_14,,,,,
,,,VF_15,,,,,
,,,VF_16,,,,,
,,,VF_17,,,,,
,,,VF_18,,,,,
,,,VF_19,,,,,
,,,VF_20,,,,,
,,,VF_21,,,,,
,,,VF_22,,,,,
,,,VF_23,,,,,
,,,VF_24,,,,,
,,,VF_25,,,,,
,,,VF_26,,,,,
,,,VF_27,,,,,
,,,VF_28,,,,,
,,,VF_29,,,,,
,,,VF_30,,,,,
,,,VF_31,,,,,
,,,VF_32,,,,,
,,,VF_33,,,,,
,,,VF_34,,,,,
,,,VF_35,,,,,
,,,VF_36,,,,,
,,,VF_37,,,,,
,,,VF_38,,,,,
,,,VF_39,,,,,
,,,VF_40,,,,,
,,,VF_41,,,,,
,,,VF_42,,,,,
,,,VF_43,,,,,
,,,VF_44,,,,,
,,,VF_45,,,,,
,,,VF_46,,,,,
,,,VF_47,,,,,
,,,VF_48,,,,,
,,,VF_49,,,,,
,,,VF_50,,,,,
,,,VF_51,,,,,
,,,VF_52,,,,,
,,,VF_53,,,,,
,,,VF_54,,,,,
,,,VF_55,,,,,
,,,VF_56,,,,,
,,,VF_57,,,,,
,,,VF_58,,,,,
DKEFS Word Context,,,WORD_01,,,,,
,,,WORD_02,,,,,
,,,WORD_03,,,,,
,,,WORD_04,,,,,
,,,WORD_05,,,,,
,,,WORD_06,,,,,
,,,WORD_07,,,,,
,,,WORD_08,,,,,
,,,WORD_09,,,,,
,,,WORD_10,,,,,
,,,WORD_11,,,,,
,,,WORD_12,,,,,
,,,WORD_13,,,,,
,,,WORD_14,,,,,
,,,WORD_15,,,,,
,,,WORD_16,,,,,
,,,WORD_17,,,,,
,,,WORD_18,,,,,
,,,WORD_19,,,,,
,,,WORD_20,,,,,
,,,WORD_21,,,,,
,,,WORD_22,,,,,
,,,WORD_23,,,,,
,,,WORD_24,,,,,
,,,WORD_25,,,,,
,,,WORD_26,,,,,
,,,WORD_27,,,,,
,,,WORD_28,,,,,
,,,WORD_29,,,,,
,,,WORD_30,,,,,
,,,WORD_31,,,,,
,,,WORD_32,,,,,
,,,WORD_33,,,,,
,,,WORD_34,,,,,
,,,WORD_35,,,,,
,,,WORD_36,,,,,
,,,WORD_37,,,,,
,,,WORD_38,,,,,
,,,WORD_39,,,,,
,,,WORD_40,,,,,
,,,WORD_41,,,,,
,,,WORD_42,,,,,
,,,WORD_43,,,,,
,,,WORD_44,,,,,
,,,WORD_45,,,,,
,,,WORD_46,,,,,
,,,WORD_47,,,,,
,,,WORD_48,,,,,
,,,WORD_49,,,,,
,,,WORD_50,,,,,
,,,WORD_51,,,,,
,,,WORD_52,,,,,
,,,WORD_53,,,,,
,,,WORD_54,,,,,
,,,WORD_55,,,,,
,,,WORD_56,,,,,
,,,WORD_57,,,,,
,,,WORD_58,,,,,
,,,WORD_59,,,,,
,,,WORD_60,,,,,
DOSPERT,Admitting that your tastes are different from those of a friend.,,DOSP_01,Extremely Unlikely,1,,,
,,,,Moderately Unlikely,2,,,
,,,,Somewhat Unlikely,3,,,
,,,,Not Sure,4,,,
,,,,Somewhat Likely,5,,,
,,,,Moderately Likely,6,,,
,,,,Extremely Likely,7,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,Going camping in the wilderness.,,DOSP_02,Extremely Unlikely,1,,,
,,,,Moderately Unlikely,2,,,
,,,,Somewhat Unlikely,3,,,
,,,,Not Sure,4,,,
